,location,bath,balcony,price,bhk,sqft
50,5th Phase JP Nagar,2.0,1.0,75.0,3,1350.0
51,5th Phase JP Nagar,1.0,1.0,23.5,1,552.0
52,5th Phase JP Nagar,2.0,2.0,51.0,2,1200.0
56,5th Phase JP Nagar,2.0,2.0,57.0,2,1030.0
57,5th Phase JP Nagar,2.0,1.0,68.0,2,1200.0
58,5th Phase JP Nagar,2.0,2.0,61.8,2,1190.0
59,5th Phase JP Nagar,5.0,2.0,170.0,5,4000.0
60,5th Phase JP Nagar,2.0,1.0,53.0,2,1080.0
61,5th Phase JP Nagar,2.0,2.0,54.0,2,1041.0
62,5th Phase JP Nagar,2.0,1.0,42.0,2,812.0
63,5th Phase JP Nagar,2.0,2.0,57.0,2,1010.0
65,5th Phase JP Nagar,2.0,2.0,60.0,2,1075.0
66,6th Phase JP Nagar,2.0,2.0,74.0,2,1192.0
67,6th Phase JP Nagar,2.0,3.0,80.0,2,1180.0
69,6th Phase JP Nagar,2.0,2.0,65.0,2,1140.0
70,6th Phase JP Nagar,2.0,1.0,63.0,2,1213.0
71,6th Phase JP Nagar,2.0,2.0,120.0,2,1170.0
72,6th Phase JP Nagar,2.0,2.0,60.0,2,1216.0
73,6th Phase JP Nagar,3.0,3.0,200.0,3,2003.0
74,6th Phase JP Nagar,3.0,3.0,131.0,3,1810.0
75,6th Phase JP Nagar,2.0,2.0,135.0,3,1515.0
76,6th Phase JP Nagar,2.0,3.0,75.0,2,1192.0
77,6th Phase JP Nagar,2.0,1.0,88.0,2,1280.0
78,7th Phase JP Nagar,2.0,2.0,72.0,2,1080.0
79,7th Phase JP Nagar,2.0,2.0,93.0,2,1270.0
80,7th Phase JP Nagar,2.0,1.0,100.0,3,1420.0
81,7th Phase JP Nagar,3.0,1.0,150.0,3,1850.0
82,7th Phase JP Nagar,2.0,1.0,94.0,2,1245.0
83,7th Phase JP Nagar,2.0,1.0,82.0,2,1175.0
84,7th Phase JP Nagar,2.0,1.0,95.0,3,1400.0
85,7th Phase JP Nagar,3.0,1.0,160.0,3,2225.0
86,7th Phase JP Nagar,2.0,1.0,71.0,2,1050.0
87,7th Phase JP Nagar,2.0,0.0,46.0,2,1100.0
88,7th Phase JP Nagar,2.0,1.0,50.49,2,918.0
89,7th Phase JP Nagar,2.0,1.0,100.0,3,1450.0
90,7th Phase JP Nagar,2.0,1.0,49.98,2,1190.0
91,7th Phase JP Nagar,2.0,2.0,96.0,3,1420.0
92,7th Phase JP Nagar,3.0,2.0,120.0,3,1680.0
93,7th Phase JP Nagar,2.0,2.0,69.0,2,980.0
94,7th Phase JP Nagar,2.0,2.0,72.0,2,1180.0
98,7th Phase JP Nagar,3.0,1.0,115.0,3,1400.0
99,7th Phase JP Nagar,2.0,1.0,83.0,2,1270.0
101,7th Phase JP Nagar,4.0,0.0,188.0,4,2503.0
102,7th Phase JP Nagar,3.0,2.0,190.0,3,2200.0
105,7th Phase JP Nagar,2.0,2.0,110.0,3,1575.0
106,7th Phase JP Nagar,3.0,2.0,140.0,3,1850.0
107,7th Phase JP Nagar,2.0,2.0,120.0,3,1575.0
108,7th Phase JP Nagar,3.0,2.0,150.0,3,1850.0
109,7th Phase JP Nagar,3.0,2.0,120.0,3,1680.0
110,7th Phase JP Nagar,2.0,2.0,82.5,2,1175.0
113,7th Phase JP Nagar,2.0,2.0,90.0,2,1215.0
114,7th Phase JP Nagar,2.0,1.0,75.0,2,1050.0
115,7th Phase JP Nagar,3.0,2.0,89.13,3,1300.0
116,7th Phase JP Nagar,2.0,2.0,73.0,2,1130.0
117,7th Phase JP Nagar,3.0,2.0,100.0,3,1450.0
119,7th Phase JP Nagar,2.0,1.0,50.0,2,1050.0
120,7th Phase JP Nagar,2.0,1.0,87.0,2,1275.0
122,7th Phase JP Nagar,3.0,2.0,110.0,3,1650.0
123,7th Phase JP Nagar,2.0,2.0,42.0,2,850.0
124,7th Phase JP Nagar,3.0,2.0,117.0,3,1680.0
125,7th Phase JP Nagar,3.0,1.0,150.0,3,1850.0
126,7th Phase JP Nagar,2.0,2.0,61.33,2,1236.0
127,7th Phase JP Nagar,2.0,2.0,53.0,2,1000.0
128,7th Phase JP Nagar,3.0,2.0,125.0,3,1680.0
129,7th Phase JP Nagar,2.0,2.0,135.0,3,1675.0
130,7th Phase JP Nagar,2.0,1.0,59.0,2,1187.0
131,7th Phase JP Nagar,3.0,2.0,155.0,3,1850.0
132,7th Phase JP Nagar,2.0,1.0,61.0,2,1000.0
133,7th Phase JP Nagar,2.0,2.0,100.0,3,1460.0
134,7th Phase JP Nagar,3.0,3.0,110.0,3,1650.0
135,7th Phase JP Nagar,2.0,2.0,62.5,2,1200.0
136,7th Phase JP Nagar,2.0,1.0,70.65,2,1000.0
137,7th Phase JP Nagar,2.0,2.0,75.0,2,1080.0
139,7th Phase JP Nagar,3.0,3.0,125.0,3,1680.0
140,7th Phase JP Nagar,2.0,1.0,97.0,3,1460.0
141,7th Phase JP Nagar,2.0,2.0,65.0,2,1120.0
142,7th Phase JP Nagar,3.0,1.0,60.0,2,1100.0
143,7th Phase JP Nagar,3.0,3.0,120.0,3,1790.0
144,7th Phase JP Nagar,3.0,2.0,117.0,3,1680.0
145,7th Phase JP Nagar,2.0,1.0,77.0,2,1050.0
146,7th Phase JP Nagar,2.0,1.0,75.0,2,1050.0
147,7th Phase JP Nagar,2.0,1.0,75.0,2,1040.0
148,7th Phase JP Nagar,2.0,1.0,95.0,3,1400.0
149,7th Phase JP Nagar,3.0,2.0,130.0,3,1800.0
150,7th Phase JP Nagar,2.0,0.0,68.0,2,1050.0
151,7th Phase JP Nagar,2.0,2.0,60.0,2,1000.0
152,7th Phase JP Nagar,3.0,2.0,125.0,3,1680.0
153,7th Phase JP Nagar,2.0,1.0,77.47,2,1050.0
154,7th Phase JP Nagar,2.0,1.0,80.0,2,1270.0
156,7th Phase JP Nagar,3.0,2.0,122.0,3,1680.0
157,7th Phase JP Nagar,2.0,2.0,85.0,2,1130.0
158,7th Phase JP Nagar,3.0,3.0,130.0,3,1680.0
159,7th Phase JP Nagar,2.0,1.0,77.44,2,980.0
160,7th Phase JP Nagar,3.0,2.0,112.0,3,1680.0
162,7th Phase JP Nagar,3.0,2.0,150.0,3,2095.0
163,7th Phase JP Nagar,3.0,1.0,145.0,3,1976.0
164,7th Phase JP Nagar,2.0,2.0,110.0,3,1600.0
165,7th Phase JP Nagar,3.0,2.0,118.0,3,1765.0
166,7th Phase JP Nagar,2.0,2.0,88.0,3,1275.0
167,7th Phase JP Nagar,2.0,1.0,102.0,3,1450.0
168,7th Phase JP Nagar,2.0,2.0,110.0,3,1575.0
170,7th Phase JP Nagar,1.0,2.0,47.0,1,750.0
171,7th Phase JP Nagar,2.0,2.0,50.0,2,990.0
172,7th Phase JP Nagar,1.0,1.0,60.0,1,1000.0
174,7th Phase JP Nagar,2.0,1.0,102.0,3,1430.0
175,7th Phase JP Nagar,2.0,1.0,60.0,2,1128.0
176,7th Phase JP Nagar,2.0,1.0,57.0,2,1140.0
177,7th Phase JP Nagar,3.0,2.0,90.0,3,1420.0
178,7th Phase JP Nagar,2.0,1.0,108.0,2,1530.0
179,8th Phase JP Nagar,2.0,0.0,54.005,2,1073.5
180,8th Phase JP Nagar,1.0,0.0,29.9,1,451.0
182,8th Phase JP Nagar,2.0,1.0,42.47,2,1062.0
184,8th Phase JP Nagar,3.0,2.0,73.31,3,1455.0
185,8th Phase JP Nagar,2.0,2.0,55.0,2,871.0
186,8th Phase JP Nagar,2.0,1.0,43.91,2,1098.0
187,8th Phase JP Nagar,3.0,1.0,80.0,3,1800.0
188,8th Phase JP Nagar,4.0,2.0,130.0,4,2700.0
189,8th Phase JP Nagar,2.0,2.0,38.0,2,1080.0
190,8th Phase JP Nagar,2.0,2.0,34.5,2,1059.0
191,8th Phase JP Nagar,2.0,2.0,35.0,2,1080.0
193,8th Phase JP Nagar,2.0,1.0,42.47,2,1062.0
194,8th Phase JP Nagar,1.0,1.0,31.0,1,500.0
195,8th Phase JP Nagar,2.0,2.0,35.0,2,1100.0
196,8th Phase JP Nagar,4.0,3.0,92.0,4,2100.0
197,8th Phase JP Nagar,2.0,1.0,39.33,2,1035.0
198,8th Phase JP Nagar,2.0,1.0,40.9,2,909.0
199,8th Phase JP Nagar,3.0,0.0,72.02,3,1431.5
200,8th Phase JP Nagar,4.0,1.0,90.0,3,1900.0
201,8th Phase JP Nagar,1.0,1.0,30.0,1,500.0
202,8th Phase JP Nagar,2.0,2.0,36.94,2,1125.0
203,8th Phase JP Nagar,2.0,3.0,35.0,2,1100.0
204,8th Phase JP Nagar,2.0,1.0,43.55,2,1089.0
206,8th Phase JP Nagar,2.0,2.0,83.0,3,1504.0
207,8th Phase JP Nagar,4.0,2.0,115.0,4,2600.0
209,8th Phase JP Nagar,2.0,1.0,43.55,2,1089.0
211,8th Phase JP Nagar,2.0,3.0,62.0,2,1513.0
212,8th Phase JP Nagar,2.0,1.0,59.0,2,1298.0
213,8th Phase JP Nagar,2.0,0.0,44.0,2,1006.0
214,8th Phase JP Nagar,1.0,1.0,33.0,1,500.0
215,8th Phase JP Nagar,2.0,1.0,95.0,2,1160.0
216,8th Phase JP Nagar,2.0,1.0,59.0,2,1245.0
217,8th Phase JP Nagar,2.0,3.0,80.0,2,1510.0
218,8th Phase JP Nagar,3.0,2.0,165.0,3,3300.0
219,8th Phase JP Nagar,5.0,2.0,75.0,5,1730.0
222,8th Phase JP Nagar,2.0,1.0,48.0,2,1046.0
224,8th Phase JP Nagar,3.0,2.0,80.0,3,1408.0
226,9th Phase JP Nagar,2.0,1.0,50.0,2,1005.0
228,9th Phase JP Nagar,2.0,1.0,65.0,2,1100.0
229,9th Phase JP Nagar,2.0,2.0,37.0,2,1080.0
230,9th Phase JP Nagar,2.0,1.0,45.0,2,1035.0
231,9th Phase JP Nagar,4.0,3.0,290.0,4,5000.0
232,9th Phase JP Nagar,2.0,1.0,56.0,2,1164.0
233,9th Phase JP Nagar,2.0,1.0,42.0,2,1005.0
234,9th Phase JP Nagar,2.0,1.0,50.0,2,1127.0
235,9th Phase JP Nagar,2.0,1.0,43.0,2,1005.0
236,9th Phase JP Nagar,2.0,0.0,37.0,2,835.0
237,9th Phase JP Nagar,2.0,2.0,39.0,2,1050.0
238,9th Phase JP Nagar,2.0,0.0,27.0,2,660.0
239,9th Phase JP Nagar,1.0,0.0,20.0,1,600.0
240,9th Phase JP Nagar,2.0,2.0,71.0,2,1466.0
241,9th Phase JP Nagar,2.0,1.0,60.0,2,1079.0
242,9th Phase JP Nagar,2.0,1.0,80.0,2,1480.0
243,9th Phase JP Nagar,2.0,0.0,80.0,2,1200.0
244,9th Phase JP Nagar,2.0,1.0,32.0,2,905.0
245,9th Phase JP Nagar,2.0,1.0,52.36,2,1073.0
246,9th Phase JP Nagar,2.0,2.0,88.0,3,1719.3
247,9th Phase JP Nagar,3.0,2.0,88.0,3,1780.0
249,9th Phase JP Nagar,3.0,2.0,90.0,3,1522.0
252,9th Phase JP Nagar,2.0,2.0,45.0,2,890.0
255,9th Phase JP Nagar,2.0,2.0,35.0,2,1050.0
256,9th Phase JP Nagar,2.0,2.0,69.0,2,1331.95
257,AECS Layout,2.0,3.0,45.0,2,1100.0
258,AECS Layout,2.0,1.0,42.0,2,1028.0
259,AECS Layout,2.0,2.0,65.0,2,1199.0
260,AECS Layout,2.0,2.0,55.0,2,1080.0
261,AECS Layout,2.0,2.0,64.0,2,1123.0
262,AECS Layout,2.0,1.0,60.0,2,1308.0
263,AECS Layout,2.0,1.0,55.0,2,1005.0
265,Abbigere,2.0,1.0,40.39,2,985.0
266,Abbigere,6.0,2.0,68.0,6,2200.0
267,Abbigere,2.0,2.0,30.0,1,765.0
268,Abbigere,2.0,1.0,35.0,2,880.0
269,Abbigere,2.0,1.0,32.54,2,795.0
270,Abbigere,2.0,1.0,39.59,2,1005.0
271,Abbigere,1.0,0.0,19.82,1,734.0
273,Abbigere,2.0,1.0,41.82,2,1020.0
274,Abbigere,2.0,1.0,40.39,2,985.0
275,Abbigere,6.0,0.0,81.0,6,2500.0
276,Abbigere,2.0,1.0,32.54,2,795.0
277,Abbigere,2.0,1.0,46.33,2,1130.0
278,Abbigere,1.0,1.0,32.6,2,795.0
279,Abbigere,8.0,0.0,150.0,8,3000.0
280,Abbigere,2.0,1.0,38.92,2,985.0
281,Abbigere,2.0,1.0,41.0,2,1000.0
282,Abbigere,2.0,1.0,40.8,2,995.0
283,Abbigere,2.0,1.0,40.8,2,1020.0
284,Akshaya Nagar,2.0,3.0,57.0,2,1388.0
285,Akshaya Nagar,2.0,1.0,54.0,2,1070.0
286,Akshaya Nagar,3.0,3.0,85.1,3,1662.0
287,Akshaya Nagar,3.0,2.0,120.0,3,1897.0
288,Akshaya Nagar,2.0,2.0,75.0,3,1410.0
289,Akshaya Nagar,2.0,2.0,85.0,3,1360.0
291,Akshaya Nagar,2.0,2.0,80.0,3,1410.0
292,Akshaya Nagar,3.0,2.0,85.0,3,1662.0
293,Akshaya Nagar,3.0,2.0,85.5,3,1662.0
294,Akshaya Nagar,2.0,1.0,60.0,2,1280.0
295,Akshaya Nagar,2.0,2.0,75.0,3,1430.0
296,Akshaya Nagar,2.0,3.0,73.0,3,1419.0
297,Akshaya Nagar,2.0,1.0,60.0,2,1280.0
298,Akshaya Nagar,2.0,1.0,50.0,2,1200.0
299,Akshaya Nagar,2.0,1.0,60.0,2,1092.0
300,Akshaya Nagar,3.0,2.0,85.0,3,1690.0
302,Akshaya Nagar,4.0,2.0,93.0,3,1897.0
303,Akshaya Nagar,3.0,3.0,98.0,3,1884.0
305,Akshaya Nagar,2.0,2.0,68.8,2,1314.0
306,Akshaya Nagar,3.0,2.0,85.0,3,1690.0
307,Akshaya Nagar,2.0,3.0,67.0,2,1265.0
308,Akshaya Nagar,2.0,1.0,55.0,2,1126.0
310,Akshaya Nagar,2.0,2.0,75.0,3,1420.0
311,Akshaya Nagar,2.0,3.0,88.0,3,1412.0
312,Akshaya Nagar,3.0,3.0,84.0,3,1434.0
313,Akshaya Nagar,4.0,2.0,100.0,3,1890.0
315,Akshaya Nagar,2.0,3.0,87.0,3,1419.0
316,Akshaya Nagar,2.0,1.0,54.0,2,1300.0
317,Akshaya Nagar,3.0,2.0,85.0,3,1690.0
318,Akshaya Nagar,2.0,1.0,52.0,2,1113.0
319,Akshaya Nagar,4.0,2.0,95.0,3,1820.0
320,Akshaya Nagar,2.0,2.0,48.0,2,1100.0
321,Akshaya Nagar,3.0,2.0,102.0,3,1896.0
322,Akshaya Nagar,2.0,2.0,66.0,2,1300.0
323,Akshaya Nagar,2.0,0.0,68.0,2,1225.0
324,Akshaya Nagar,2.0,1.0,51.0,2,1179.0
325,Akshaya Nagar,2.0,2.0,73.0,3,1421.0
326,Akshaya Nagar,4.0,2.0,95.0,3,1893.0
327,Akshaya Nagar,2.0,1.0,45.0,2,900.0
328,Ambalipura,2.0,1.0,75.0,2,1105.0
329,Ambalipura,3.0,3.0,110.0,3,1800.0
330,Ambalipura,2.0,2.0,80.0,2,1150.0
331,Ambalipura,2.0,2.0,66.25,2,1250.0
332,Ambalipura,2.0,1.0,79.0,2,1332.0
333,Ambalipura,3.0,1.0,120.0,3,1730.0
334,Ambalipura,2.0,2.0,66.25,2,1230.0
335,Ambalipura,2.0,1.0,77.0,2,1351.0
338,Ambalipura,2.0,2.0,80.0,2,1303.0
339,Ambalipura,2.0,2.0,112.0,3,1607.0
340,Ambalipura,1.0,2.0,43.82,1,770.0
341,Ambalipura,2.0,2.0,76.0,2,1700.0
342,Ambalipura,2.0,1.0,58.5,2,1060.0
343,Ambalipura,3.0,3.0,100.0,3,1650.0
344,Ambalipura,2.0,2.0,112.0,3,1607.0
345,Ambalipura,2.0,2.0,80.0,2,1198.0
346,Ambedkar Nagar,4.0,2.0,130.0,3,1935.0
347,Ambedkar Nagar,2.0,2.0,90.0,2,1424.0
348,Ambedkar Nagar,4.0,2.0,169.0,3,2225.0
349,Ambedkar Nagar,3.0,2.0,120.0,3,1862.0
350,Ambedkar Nagar,4.0,3.0,139.0,3,1850.0
351,Ambedkar Nagar,4.0,2.0,126.0,3,1936.0
352,Ambedkar Nagar,3.0,2.0,119.0,3,1862.0
353,Ambedkar Nagar,2.0,2.0,90.0,2,1424.0
354,Ambedkar Nagar,4.0,2.0,125.0,3,2150.0
355,Ambedkar Nagar,4.0,2.0,290.0,4,3530.0
356,Ambedkar Nagar,3.0,1.0,120.0,3,1856.0
357,Ambedkar Nagar,3.0,2.0,130.0,3,1852.0
358,Ambedkar Nagar,4.0,2.0,120.0,3,1850.0
359,Ambedkar Nagar,2.0,2.0,86.0,2,1367.0
360,Ambedkar Nagar,4.0,3.0,255.0,4,3565.0
361,Ambedkar Nagar,2.0,2.0,95.0,2,1409.0
362,Ambedkar Nagar,4.0,2.0,120.0,3,1950.0
363,Ambedkar Nagar,4.0,3.0,129.0,3,1921.0
364,Ambedkar Nagar,4.0,2.0,121.0,3,1920.0
365,Ambedkar Nagar,4.0,2.0,125.0,3,1935.0
366,Ambedkar Nagar,4.0,2.0,122.0,3,1852.0
367,Ambedkar Nagar,4.0,2.0,120.0,3,1950.0
368,Ambedkar Nagar,3.0,2.0,125.0,3,1852.0
369,Ambedkar Nagar,4.0,2.0,121.0,3,1850.0
370,Ambedkar Nagar,2.0,1.0,94.0,2,1425.0
371,Ambedkar Nagar,4.0,2.0,150.0,3,2395.0
372,Amruthahalli,2.0,1.0,40.0,2,900.0
373,Amruthahalli,2.0,2.0,55.0,2,1200.0
374,Amruthahalli,3.0,1.0,135.0,3,1900.0
375,Amruthahalli,2.0,1.0,45.0,2,924.0
376,Amruthahalli,2.0,1.0,60.0,2,900.0
377,Amruthahalli,2.0,1.0,45.0,2,1100.0
378,Amruthahalli,2.0,1.0,55.0,2,1200.0
382,Amruthahalli,2.0,1.0,85.0,3,1450.0
383,Amruthahalli,2.0,2.0,55.0,2,1200.0
384,Amruthahalli,2.0,2.0,79.0,2,1250.0
385,Amruthahalli,2.0,2.0,50.0,2,1190.0
386,Amruthahalli,2.0,1.0,65.0,2,1202.0
387,Amruthahalli,2.0,1.0,75.0,2,1340.0
388,Amruthahalli,4.0,0.0,175.0,3,2650.0
389,Amruthahalli,2.0,1.0,90.0,3,1450.0
390,Amruthahalli,2.0,1.0,42.0,2,1025.0
391,Amruthahalli,1.0,1.0,19.5,1,485.0
392,Anandapura,2.0,1.0,43.76,2,1167.0
393,Anandapura,2.0,1.0,55.0,2,1000.0
394,Anandapura,2.0,1.0,42.79,2,1141.0
396,Anandapura,2.0,1.0,67.0,2,1200.0
397,Anandapura,2.0,1.0,58.0,2,1200.0
398,Anandapura,2.0,1.0,43.1,2,1151.0
399,Anandapura,2.0,1.0,42.75,2,1141.0
400,Anandapura,2.0,0.0,48.0,2,900.0
401,Anandapura,4.0,0.0,90.0,4,1749.0
402,Anandapura,2.0,1.0,42.9,2,1151.0
404,Anandapura,2.0,2.0,45.0,2,1250.0
405,Anandapura,2.0,1.0,43.16,2,1151.0
406,Anandapura,2.0,0.0,58.0,2,1200.0
407,Anandapura,2.0,0.0,66.0,3,1200.0
408,Anandapura,2.0,1.0,74.0,3,1415.0
409,Anandapura,2.0,1.0,50.0,2,1200.0
410,Anandapura,2.0,1.0,50.0,2,1141.0
412,Ananth Nagar,1.0,1.0,14.0,1,500.0
413,Ananth Nagar,2.0,2.0,31.5,2,1100.0
414,Ananth Nagar,2.0,2.0,24.55,2,982.0
415,Ananth Nagar,2.0,2.0,14.0,1,500.0
416,Ananth Nagar,2.0,2.0,22.5,2,900.0
417,Ananth Nagar,2.0,1.0,26.0,2,908.0
418,Ananth Nagar,2.0,2.0,36.0,2,870.0
419,Ananth Nagar,2.0,1.0,35.0,2,937.0
420,Ananth Nagar,2.0,3.0,37.0,2,960.0
421,Ananth Nagar,1.0,1.0,14.0,1,500.0
422,Ananth Nagar,2.0,1.0,29.7,2,1000.0
423,Ananth Nagar,2.0,1.0,25.99,2,850.0
424,Ananth Nagar,2.0,1.0,25.26,2,902.0
425,Ananth Nagar,3.0,2.0,54.0,3,1470.0
426,Ananth Nagar,2.0,1.0,25.5,2,810.0
427,Ananth Nagar,2.0,1.0,27.0,2,890.0
428,Ananth Nagar,2.0,1.0,36.0,2,1200.0
430,Ananth Nagar,3.0,1.0,42.0,3,1319.0
431,Ananth Nagar,2.0,3.0,25.0,2,1000.0
432,Ananth Nagar,2.0,2.0,25.0,2,902.0
433,Ananth Nagar,2.0,1.0,25.99,2,930.0
434,Ananth Nagar,2.0,2.0,26.85,2,1074.0
435,Ananth Nagar,1.0,1.0,14.0,1,500.0
436,Ananth Nagar,2.0,2.0,38.0,2,1010.0
437,Ananth Nagar,2.0,2.0,24.8,2,992.0
439,Anekal,2.0,1.0,22.0,2,656.0
440,Anekal,2.0,1.0,22.0,2,620.0
441,Anekal,1.0,1.0,16.5,1,600.0
442,Anekal,2.0,1.0,40.0,2,925.0
443,Anekal,1.0,1.0,18.0,1,530.0
444,Anekal,3.0,2.0,68.0,3,1800.0
446,Anekal,1.0,1.0,16.0,1,351.0
447,Anekal,2.0,2.0,38.3,2,1035.0
448,Anekal,2.0,1.0,34.0,2,888.0
452,Anekal,2.0,1.0,36.0,4,1200.0
453,Anekal,2.0,2.0,28.0,2,766.0
454,Anekal,2.0,1.0,45.0,3,967.0
455,Anekal,1.0,1.0,23.5,2,620.0
456,Anekal,3.0,2.0,45.0,3,1150.0
459,Anekal,1.0,1.0,11.5,1,400.0
460,Anekal,1.0,1.0,15.0,1,456.0
463,Anekal,4.0,0.0,95.0,3,2400.0
467,Anekal,1.0,1.0,12.5,1,420.0
468,Anekal,1.0,1.0,28.0,2,614.0
469,Anekal,2.0,2.0,52.0,2,1140.0
470,Anekal,1.0,1.0,25.0,2,625.0
471,Anjanapura,4.0,2.0,86.0,4,1850.0
472,Anjanapura,2.0,2.0,39.0,2,1070.0
473,Anjanapura,3.0,1.0,121.0,3,1500.0
474,Anjanapura,2.0,2.0,37.0,2,1070.0
475,Anjanapura,2.0,1.0,40.0,2,950.0
476,Anjanapura,2.0,2.0,45.0,3,1280.0
477,Anjanapura,2.0,0.0,25.0,2,710.0
479,Anjanapura,2.0,0.0,32.0,2,950.0
480,Anjanapura,4.0,2.0,55.0,4,1800.0
481,Anjanapura,3.0,1.0,87.54,3,1843.0
482,Anjanapura,2.0,1.0,30.13,2,1076.0
483,Anjanapura,2.0,0.0,30.0,2,950.0
484,Ardendale,3.0,2.0,100.0,3,1750.0
485,Ardendale,4.0,3.0,200.0,4,3198.0
486,Ardendale,4.0,2.0,160.0,4,2422.0
487,Ardendale,3.0,3.0,100.0,3,1750.0
488,Ardendale,4.0,1.0,205.0,4,3200.0
489,Ardendale,3.0,2.0,95.0,3,1728.0
490,Ardendale,3.0,2.0,92.0,3,1732.46
491,Ardendale,2.0,2.0,70.0,2,1224.0
492,Ardendale,3.0,2.0,105.0,3,1777.26
493,Ardendale,3.0,3.0,82.0,3,1650.0
494,Ardendale,3.0,3.0,82.0,3,1650.0
495,Ardendale,2.0,2.0,67.0,2,1224.0
496,Ardendale,3.0,2.0,95.0,3,1723.0
497,Ardendale,3.0,2.0,89.0,3,1777.26
498,Ardendale,3.0,2.0,92.0,3,1777.26
499,Arekere,3.0,2.0,140.0,3,2060.0
500,Arekere,2.0,1.0,40.0,2,920.0
501,Arekere,2.0,2.0,55.0,2,1190.0
502,Arekere,1.0,1.0,28.0,1,600.0
503,Arekere,3.0,2.0,108.0,3,2072.0
504,Arekere,2.0,2.0,55.0,2,1100.0
505,Arekere,2.0,3.0,50.0,2,900.0
506,Arekere,6.0,2.0,142.0,4,2710.0
507,Arekere,2.0,2.0,60.0,2,1240.0
508,Arekere,2.0,1.0,44.5,2,900.0
509,Attibele,1.0,1.0,11.0,1,450.0
510,Attibele,4.0,0.0,52.8,4,1600.0
511,Attibele,2.0,1.0,25.0,2,656.0
512,Attibele,1.0,1.0,11.0,1,400.0
513,Attibele,1.0,1.0,12.0,1,400.0
514,Attibele,1.0,1.0,14.0,1,400.0
515,Attibele,1.0,1.0,17.0,1,500.0
516,Attibele,4.0,2.0,95.0,4,2168.0
517,Attibele,1.0,1.0,10.25,1,395.0
518,Attibele,1.0,1.0,17.0,1,420.0
520,Attibele,1.0,1.0,12.0,1,418.0
521,Attibele,2.0,2.0,42.0,2,1200.0
522,Attibele,1.0,1.0,10.0,1,400.0
523,Attibele,1.0,1.0,25.0,2,695.0
524,Attibele,1.0,1.0,25.0,2,850.0
525,Attibele,3.0,3.0,120.0,3,2400.0
526,Attibele,1.0,1.0,12.5,1,450.0
